,indice,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,Address2,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel,Pattern_Add1
2050,2092,IMMEUBLE ATLAS LE CORBIER 73300 VILLAREMBERT FRANCE,NONE,IMMEUBLE ATLAS LE CORBIER,NONE,NONE,NONE,NONE,NONE,NONE,73300.0,VILLAREMBERT,FRANCE,IMMEUBLE ATLAS LE CORBIER 73300 VILLAREMBERT FRANCE,NONE,IMMEUBLE ATLAS LE CORBIER,NONE,NONE,NONE,NONE,NONE,NONE,73300.0,VILLAREMBERT,FRANCE,Match,EB C
2051,2093,2 PLACE FELIX BARET 13006 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,2,PLACE FELIX BARET,NONE,13006.0,MARSEILLE,FRANCE,2 PLACE FELIX BARET 13006 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,2,PLACE FELIX BARET,NONE,13006.0,MARSEILLE,FRANCE,Match,HN RN C
2052,2094,97 ROUTE DU GEN DE GAULLE 67300 SCHILTIGHEIM FRANCE,NONE,NONE,NONE,NONE,NONE,97,ROUTE DU GEN DE GAULLE,NONE,67300.0,SCHILTIGHEIM,FRANCE,97 ROUTE DU GEN DE GAULLE 67300 SCHILTIGHEIM FRANCE,NONE,NONE,NONE,NONE,NONE,97,ROUTE DU GEN DE GAULLE,NONE,67300.0,SCHILTIGHEIM,FRANCE,Match,HN RN C
2053,2095,7 ALLEE EMILE COHL 78700 CONFLANS-SAINTE-HONORINE FRANCE,NONE,NONE,NONE,NONE,NONE,7,ALLEE EMILE COHL,NONE,78700.0,CONFLANS-SAINTE-HONORINE,FRANCE,7 ALLEE EMILE COHL 78700 CONFLANS-SAINTE-HONORINE FRANCE,NONE,NONE,NONE,NONE,NONE,7,ALLEE EMILE COHL,NONE,78700.0,CONFLANS-SAINTE-HONORINE,FRANCE,Match,HN RN C
2054,2096,RESIDENCE FOCH AVENUE FOCH 54000 NANCY FRANCE,NONE,RESIDENCE FOCH,NONE,NONE,NONE,NONE,AVENUE FOCH,NONE,54000.0,NANCY,FRANCE,RESIDENCE FOCH AVENUE FOCH 54000 NANCY FRANCE,NONE,RESIDENCE FOCH,NONE,NONE,NONE,NONE,AVENUE FOCH,NONE,54000.0,NANCY,FRANCE,Match,EB RN C
2055,2097,1 B AVENUE ARISTIDE BERGES 38190 VILLARD-BONNOT FRANCE,NONE,NONE,NONE,NONE,NONE,1 B,AVENUE ARISTIDE BERGES,NONE,38190.0,VILLARD-BONNOT,FRANCE,1 B AVENUE ARISTIDE BERGES 38190 VILLARD-BONNOT FRANCE,NONE,NONE,NONE,NONE,NONE,1 B,AVENUE ARISTIDE BERGES,NONE,38190.0,VILLARD-BONNOT,FRANCE,Match,HN RN C
2056,2098,ZONE ARTISANALE RUE DE MAISON DIEU 21220 FIXIN FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,NONE,RUE DE MAISON DIEU,NONE,21220.0,FIXIN,FRANCE,ZONE ARTISANALE RUE DE MAISON DIEU 21220 FIXIN FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,NONE,RUE DE MAISON DIEU,NONE,21220.0,FIXIN,FRANCE,Match,Z RN C
2057,2099,AVENUE LIEUTENANT JEAN TOUCAS 83260 LA CRAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE LIEUTENANT JEAN TOUCAS,NONE,83260.0,LA CRAU,FRANCE,AVENUE LIEUTENANT JEAN TOUCAS 83260 LA CRAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE LIEUTENANT JEAN TOUCAS,NONE,83260.0,LA CRAU,FRANCE,Match,RN C
2058,2100,RUE DES COIGNETS 26790 TULETTE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COIGNETS,NONE,26790.0,TULETTE,FRANCE,RUE DES COIGNETS 26790 TULETTE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COIGNETS,NONE,26790.0,TULETTE,FRANCE,Match,RN C
2059,2101,LE SOL DE LOIRE BP 60017 49290 MAUGES-SUR-LOIRE FRANCE,NONE,NONE,NONE,LE SOL DE LOIRE,NONE,NONE,NONE,BP 60017,49290.0,MAUGES-SUR-LOIRE,FRANCE,LE SOL DE LOIRE BP 60017 49290 MAUGES-SUR-LOIRE FRANCE,NONE,NONE,NONE,LE SOL DE LOIRE,NONE,NONE,NONE,BP 60017,49290.0,MAUGES-SUR-LOIRE,FRANCE,Match,Z C
2060,2102,ZAC DE FONT RATEL 8 RUE DE L EUROPE 16440 CLAIX FRANCE,NONE,NONE,NONE,ZAC DE FONT RATEL,NONE,8,RUE DE L EUROPE,NONE,16440.0,CLAIX,FRANCE,ZAC DE FONT RATEL 8 RUE DE L EUROPE 16440 CLAIX FRANCE,NONE,NONE,NONE,ZAC DE FONT RATEL,NONE,8,RUE DE L EUROPE,NONE,16440.0,CLAIX,FRANCE,Match,Z HN RN C
2061,2103,35 RUE RABELAIS 63000 CLERMONT-FERRAND FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE RABELAIS,NONE,63000.0,CLERMONT-FERRAND,FRANCE,35 RUE RABELAIS 63000 CLERMONT-FERRAND FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE RABELAIS,NONE,63000.0,CLERMONT-FERRAND,FRANCE,Match,HN RN C
2062,2104,RUE ROLLAND 33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE ROLLAND,NONE,33000.0,BORDEAUX,FRANCE,RUE ROLLAND 33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE ROLLAND,NONE,33000.0,BORDEAUX,FRANCE,Match,RN C
2063,2105,IMMEUBLE LE COLBERT 12 COURS CDT FRATACCI 76600 LE HAVRE FRANCE,NONE,IMMEUBLE LE COLBERT,NONE,NONE,NONE,12,COURS CDT FRATACCI,NONE,76600.0,LE HAVRE,FRANCE,12 COURS CDT FRATACCI 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,NONE,12,COURS CDT FRATACCI,NONE,76600.0,LE HAVRE,FRANCE,Match,EB HN RN C
2064,2106,1 RUE BOURGUIGNON 76420 BIHOREL FRANCE,NONE,NONE,NONE,NONE,NONE,1,RUE BOURGUIGNON,NONE,76420.0,BIHOREL,FRANCE,1 RUE BOURGUIGNON 76420 BIHOREL FRANCE,NONE,NONE,NONE,NONE,NONE,1,RUE BOURGUIGNON,NONE,76420.0,BIHOREL,FRANCE,Match,HN RN C
2065,2107,CHATEAU D'OLERON 89 ROUTE D'ANTIOCHE LE 17480 LE CHATEAU D OLERON FRANCE,NONE,NONE,NONE,CHATEAU D'OLERON,NONE,89,ROUTE D'ANTIOCHE LE,NONE,17480.0,LE CHATEAU D OLERON,FRANCE,CHATEAU D'OLERON 89 ROUTE D'ANTIOCHE LE 17480 LE CHATEAU D OLERON FRANCE,NONE,NONE,NONE,CHATEAU D'OLERON,NONE,89,ROUTE D'ANTIOCHE LE,NONE,17480.0,LE CHATEAU D OLERON,FRANCE,Match,Z HN RN C
2066,2108,146 AVENUE DES ETATS UNIS 31200 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,NONE,146,AVENUE DES ETATS UNIS,NONE,31200.0,TOULOUSE,FRANCE,146 AVENUE DES ETATS UNIS 31200 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,NONE,146,AVENUE DES ETATS UNIS,NONE,31200.0,TOULOUSE,FRANCE,Match,HN RN C
2067,2109,MARCHE COUVERT DE MAMOUDZOU BOX H0 2 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,MARCHE COUVERT DE MAMOUDZOU,NONE,NONE,NONE,BOX H0 2,97600.0,MAMOUDZOU,FRANCE,MARCHE COUVERT DE MAMOUDZOU BOX H0 2 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,MARCHE COUVERT DE MAMOUDZOU,NONE,NONE,NONE,BOX H0 2,97600.0,MAMOUDZOU,FRANCE,Match,Z C
2068,2110,CHEMIN DU TEULEL 12200 VILLEFRANCHE-DE-ROUERGUE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DU TEULEL,NONE,12200.0,VILLEFRANCHE-DE-ROUERGUE,FRANCE,CHEMIN DU TEULEL 12200 VILLEFRANCHE-DE-ROUERGUE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DU TEULEL,NONE,12200.0,VILLEFRANCHE-DE-ROUERGUE,FRANCE,Match,RN C
2069,2111,LIEU DIT LANGENNERIE 37390 CHANCEAUX-SUR-CHOISILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LANGENNERIE,NONE,37390.0,CHANCEAUX-SUR-CHOISILLE,FRANCE,LIEU DIT LANGENNERIE 37390 CHANCEAUX-SUR-CHOISILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LANGENNERIE,NONE,37390.0,CHANCEAUX-SUR-CHOISILLE,FRANCE,Match,RN C
2070,2112,19 BOULEVARD DU GUEDEAU 79300 BRESSUIRE FRANCE,NONE,NONE,NONE,NONE,NONE,19,BOULEVARD DU GUEDEAU,NONE,79300.0,BRESSUIRE,FRANCE,19 BOULEVARD DU GUEDEAU 79300 BRESSUIRE FRANCE,NONE,NONE,NONE,NONE,NONE,19,BOULEVARD DU GUEDEAU,NONE,79300.0,BRESSUIRE,FRANCE,Match,HN RN C
2071,2113,ZONE INDUSTRIELLE PLATEAU DES GLIERES 51470 SAINT-MEMMIE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE PLATEAU DES GLIERES,NONE,NONE,NONE,NONE,51470.0,SAINT-MEMMIE,FRANCE,ZONE INDUSTRIELLE PLATEAU DES GLIERES 51470 SAINT-MEMMIE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE PLATEAU DES GLIERES,NONE,NONE,NONE,NONE,51470.0,SAINT-MEMMIE,FRANCE,Match,Z C
2072,2114,ZAC SAUMATY SEON 22 RUE GASTON CASTEL 13016 MARSEILLE FRANCE,NONE,NONE,NONE,ZAC SAUMATY SEON,NONE,22,RUE GASTON CASTEL,NONE,13016.0,MARSEILLE,FRANCE,ZAC SAUMATY SEON 22 RUE GASTON CASTEL 13016 MARSEILLE FRANCE,NONE,NONE,NONE,ZAC SAUMATY SEON,NONE,22,RUE GASTON CASTEL,NONE,13016.0,MARSEILLE,FRANCE,Match,Z HN RN C
2073,2115,PLACE VOLTAIRE 69003 LYON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE VOLTAIRE,NONE,69003.0,LYON,FRANCE,PLACE VOLTAIRE 69003 LYON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE VOLTAIRE,NONE,69003.0,LYON,FRANCE,Match,RN C
2074,2116,6 BOULEVARD DE LA PAIX 13160 CHATEAURENARD FRANCE,NONE,NONE,NONE,NONE,NONE,6,BOULEVARD DE LA PAIX,NONE,13160.0,CHATEAURENARD,FRANCE,6 BOULEVARD DE LA PAIX 13160 CHATEAURENARD FRANCE,NONE,NONE,NONE,NONE,NONE,6,BOULEVARD DE LA PAIX,NONE,13160.0,CHATEAURENARD,FRANCE,Match,HN RN C
2075,2117,3 RUE MAISON DE VATIMESNIL 27150 ETREPAGNY FRANCE,NONE,NONE,NONE,NONE,NONE,3,RUE MAISON DE VATIMESNIL,NONE,27150.0,ETREPAGNY,FRANCE,3 RUE MAISON DE VATIMESNIL 27150 ETREPAGNY FRANCE,NONE,NONE,NONE,NONE,NONE,3,RUE MAISON DE VATIMESNIL,NONE,27150.0,ETREPAGNY,FRANCE,Match,HN RN C
2076,2118,5 ALLEE DES GRIBELETS 54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,5,ALLEE DES GRIBELETS,NONE,54830.0,FRANCONVILLE,FRANCE,5 ALLEE DES GRIBELETS 54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,5,ALLEE DES GRIBELETS,NONE,54830.0,FRANCONVILLE,FRANCE,Match,HN RN C
2077,2119,ZONE ARTISANALE 34540 BALARUC-LES-BAINS FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,NONE,NONE,NONE,34540.0,BALARUC-LES-BAINS,FRANCE,ZONE ARTISANALE 34540 BALARUC-LES-BAINS FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,NONE,NONE,NONE,34540.0,BALARUC-LES-BAINS,FRANCE,Match,Z C
2078,2120,CITE LILAS TORRANCE 32 RUE BERLIOZ 64000 PAU FRANCE,NONE,NONE,NONE,NONE,CITE LILAS TORRANCE,32,RUE BERLIOZ,NONE,64000.0,PAU,FRANCE,CITE LILAS TORRANCE 32 RUE BERLIOZ 64000 PAU FRANCE,NONE,NONE,NONE,NONE,CITE LILAS TORRANCE,32,RUE BERLIOZ,NONE,64000.0,PAU,FRANCE,Match,D HN RN C
2079,2121,583 RUE DES MISTOUNS 84100 ORANGE FRANCE,NONE,NONE,NONE,NONE,NONE,583,RUE DES MISTOUNS,NONE,84100.0,ORANGE,FRANCE,583 RUE DES MISTOUNS 84100 ORANGE FRANCE,NONE,NONE,NONE,NONE,NONE,583,RUE DES MISTOUNS,NONE,84100.0,ORANGE,FRANCE,Match,HN RN C
2080,2122,IMMEUBLE CHARMETTTES LES TERRIERS NORD 400 ALLEE DES TERRIERS 6160 ANTIBES FRANCE,NONE,IMMEUBLE CHARMETTTES,NONE,LES TERRIERS NORD,NONE,400,ALLEE DES TERRIERS,NONE,6160.0,ANTIBES,FRANCE,IMMEUBLE CHARMETTTES LES TERRIERS NORD 400 ALLEE DES TERRIERS 6160 ANTIBES FRANCE,NONE,IMMEUBLE CHARMETTTES,NONE,LES TERRIERS NORD,NONE,400,ALLEE DES TERRIERS,NONE,6160.0,ANTIBES,FRANCE,Match,EB Z HN RN C
2081,2123,75 RUE DU DAUPHINE 69003 LYON FRANCE,NONE,NONE,NONE,NONE,NONE,75,RUE DU DAUPHINE,NONE,69003.0,LYON,FRANCE,75 RUE DU DAUPHINE 69003 LYON FRANCE,NONE,NONE,NONE,NONE,NONE,75,RUE DU DAUPHINE,NONE,69003.0,LYON,FRANCE,Match,HN RN C
2082,2124,CHATEAU D'OLERON RUE GAMBETTA LE 17480 LE CHATEAU D OLERON FRANCE,NONE,NONE,NONE,CHATEAU D'OLERON,NONE,NONE,RUE GAMBETTA LE,NONE,17480.0,LE CHATEAU D OLERON,FRANCE,CHATEAU D'OLERON RUE GAMBETTA LE 17480 LE CHATEAU D OLERON FRANCE,NONE,NONE,NONE,CHATEAU D'OLERON,NONE,NONE,RUE GAMBETTA LE,NONE,17480.0,LE CHATEAU D OLERON,FRANCE,Match,Z RN C
2083,2127,LIEU DIT LA VILLATTE 18270 SAINT-CHRISTOPHE-LE-CHAUDRY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LA VILLATTE,NONE,18270.0,SAINT-CHRISTOPHE-LE-CHAUDRY,FRANCE,LIEU DIT LA VILLATTE 18270 SAINT-CHRISTOPHE-LE-CHAUDRY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LA VILLATTE,NONE,18270.0,SAINT-CHRISTOPHE-LE-CHAUDRY,FRANCE,Match,RN C
2084,2128,LIEU DIT LA BARRAQUE LORTAL 12200 LE BAS SEGALA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LA BARRAQUE LORTAL,NONE,12200.0,LE BAS SEGALA,FRANCE,LIEU DIT LA BARRAQUE LORTAL 12200 LE BAS SEGALA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LA BARRAQUE LORTAL,NONE,12200.0,LE BAS SEGALA,FRANCE,Match,RN C
2085,2129,LES GRANDS BRAVOUX 84170 MONTEUX FRANCE,NONE,NONE,NONE,LES GRANDS BRAVOUX,NONE,NONE,NONE,NONE,84170.0,MONTEUX,FRANCE,LES GRANDS BRAVOUX 84170 MONTEUX FRANCE,NONE,NONE,NONE,LES GRANDS BRAVOUX,NONE,NONE,NONE,NONE,84170.0,MONTEUX,FRANCE,Match,Z C
2086,2130,ZONE INDUSTRIELLE 9/ 11 RUE DE LISBONNE 5110 VITROLLES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE 9/,NONE,11,RUE DE LISBONNE,NONE,5110.0,VITROLLES,FRANCE,ZONE INDUSTRIELLE 9/ 11 RUE DE LISBONNE 5110 VITROLLES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE 9/,NONE,11,RUE DE LISBONNE,NONE,5110.0,VITROLLES,FRANCE,Match,Z HN RN C
2087,2131,18 RUE HONORE DE BALZAC 95270 LUZARCHES FRANCE,NONE,NONE,NONE,NONE,NONE,18,RUE HONORE DE BALZAC,NONE,95270.0,LUZARCHES,FRANCE,18 RUE HONORE DE BALZAC 95270 LUZARCHES FRANCE,NONE,NONE,NONE,NONE,NONE,18,RUE HONORE DE BALZAC,NONE,95270.0,LUZARCHES,FRANCE,Match,HN RN C
2088,2132,167 AVENUE LOUIS BARTHOU 33200 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,167,AVENUE LOUIS BARTHOU,NONE,33200.0,BORDEAUX,FRANCE,167 AVENUE LOUIS BARTHOU 33200 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,167,AVENUE LOUIS BARTHOU,NONE,33200.0,BORDEAUX,FRANCE,Match,HN RN C
2089,2133,94 RUE PASTEUR 94120 FONTENAY-SOUS-BOIS FRANCE,NONE,NONE,NONE,NONE,NONE,94,RUE PASTEUR,NONE,94120.0,FONTENAY-SOUS-BOIS,FRANCE,94 RUE PASTEUR 94120 FONTENAY-SOUS-BOIS FRANCE,NONE,NONE,NONE,NONE,NONE,94,RUE PASTEUR,NONE,94120.0,FONTENAY-SOUS-BOIS,FRANCE,Match,HN RN C
2090,2134,35 RUE DE PARIS L'ARBRESLE 69210 L ARBRESLE FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE DE PARIS L'ARBRESLE,NONE,69210.0,L ARBRESLE,FRANCE,35 RUE DE PARIS L'ARBRESLE 69210 L ARBRESLE FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE DE PARIS L'ARBRESLE,NONE,69210.0,L ARBRESLE,FRANCE,Match,HN RN C
2091,2135,RESIDENCE DES ORANGERS 4 AVENUE DE LA GRANDE ARMEE 20000 AJACCIO FRANCE,NONE,RESIDENCE DES ORANGERS,NONE,NONE,NONE,4,AVENUE DE LA GRANDE ARMEE,NONE,20000.0,AJACCIO,FRANCE,4 AVENUE DE LA GRANDE ARMEE 20000 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,4,AVENUE DE LA GRANDE ARMEE,NONE,20000.0,AJACCIO,FRANCE,Match,EB HN RN C
2092,2136,31 RUE DE LA GRAVIERE 63000 CLERMONT-FERRAND FRANCE,NONE,NONE,NONE,NONE,NONE,31,RUE DE LA GRAVIERE,NONE,63000.0,CLERMONT-FERRAND,FRANCE,31 RUE DE LA GRAVIERE 63000 CLERMONT-FERRAND FRANCE,NONE,NONE,NONE,NONE,NONE,31,RUE DE LA GRAVIERE,NONE,63000.0,CLERMONT-FERRAND,FRANCE,Match,HN RN C
2093,2137,LES REMPARTS PLACE DE LA SALLE VERTE 16100 COGNAC FRANCE,NONE,NONE,NONE,LES REMPARTS,NONE,NONE,PLACE DE LA SALLE VERTE,NONE,16100.0,COGNAC,FRANCE,LES REMPARTS PLACE DE LA SALLE VERTE 16100 COGNAC FRANCE,NONE,NONE,NONE,LES REMPARTS,NONE,NONE,PLACE DE LA SALLE VERTE,NONE,16100.0,COGNAC,FRANCE,Match,Z RN C
2094,2138,POLE 45 RUE DES CHATAIGNIERS ROUTE D ORMES 45770 SARAN FRANCE,NONE,NONE,NONE,POLE 45,NONE,NONE,RUE DES CHATAIGNIERS ROUTE D ORMES,NONE,45770.0,SARAN,FRANCE,POLE 45 RUE DES CHATAIGNIERS ROUTE D ORMES 45770 SARAN FRANCE,NONE,NONE,NONE,POLE 45,NONE,NONE,RUE DES CHATAIGNIERS ROUTE D ORMES,NONE,45770.0,SARAN,FRANCE,Match,Z RN C
2095,2139,2 RUE SAINT GILLES BP 4433 22000 SAINT-BRIEUC FRANCE,NONE,NONE,NONE,NONE,NONE,2,RUE SAINT GILLES,BP 4433,22000.0,SAINT-BRIEUC,FRANCE,2 RUE SAINT GILLES BP 4433 22000 SAINT-BRIEUC FRANCE,NONE,NONE,NONE,NONE,NONE,2,RUE SAINT GILLES,BP 4433,22000.0,SAINT-BRIEUC,FRANCE,Match,HN RN C
2096,2140,CHEMIN D ASTOURET 4120 LA GARDE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN D ASTOURET,NONE,4120.0,LA GARDE,FRANCE,CHEMIN D ASTOURET 4120 LA GARDE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN D ASTOURET,NONE,4120.0,LA GARDE,FRANCE,Match,RN C
2097,2141,LIEU DIT SARRAT D'EN BENTE FARINES 66320 VINCA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT SARRAT D'EN BENTE FARINES,NONE,66320.0,VINCA,FRANCE,LIEU DIT SARRAT D'EN BENTE FARINES 66320 VINCA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT SARRAT D'EN BENTE FARINES,NONE,66320.0,VINCA,FRANCE,Match,RN C
2098,2142,87 RUE DE SILLY 92100 BOULOGNE-BILLANCOURT FRANCE,NONE,NONE,NONE,NONE,NONE,87,RUE DE SILLY,NONE,92100.0,BOULOGNE-BILLANCOURT,FRANCE,87 RUE DE SILLY 92100 BOULOGNE-BILLANCOURT FRANCE,NONE,NONE,NONE,NONE,NONE,87,RUE DE SILLY,NONE,92100.0,BOULOGNE-BILLANCOURT,FRANCE,Match,HN RN C
2099,2143,IMMEUBLE LE SEBASTOPOL 3 QUAI KLEBER 67000 STRASBOURG FRANCE,NONE,IMMEUBLE LE SEBASTOPOL,NONE,NONE,NONE,3,QUAI KLEBER,NONE,67000.0,STRASBOURG,FRANCE,3 QUAI KLEBER 67000 STRASBOURG FRANCE,NONE,NONE,NONE,NONE,NONE,3,QUAI KLEBER,NONE,67000.0,STRASBOURG,FRANCE,Match,EB HN RN C
2100,2144,2 PLACE DU MARCHE COUVERT 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,2,PLACE DU MARCHE COUVERT,NONE,97600.0,MAMOUDZOU,FRANCE,2 PLACE DU MARCHE COUVERT 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,2,PLACE DU MARCHE COUVERT,NONE,97600.0,MAMOUDZOU,FRANCE,Match,HN RN C
2101,2145,27 BOULEVARD GEORGES CLEMENCEAU 13200 ARLES FRANCE,NONE,NONE,NONE,NONE,NONE,27,BOULEVARD GEORGES CLEMENCEAU,NONE,13200.0,ARLES,FRANCE,27 BOULEVARD GEORGES CLEMENCEAU 13200 ARLES FRANCE,NONE,NONE,NONE,NONE,NONE,27,BOULEVARD GEORGES CLEMENCEAU,NONE,13200.0,ARLES,FRANCE,Match,HN RN C
2102,2146,IMMEUBLE LE MAGALI AVENUE JOFFRE 6140 VENCE FRANCE,NONE,IMMEUBLE LE MAGALI,NONE,NONE,NONE,NONE,AVENUE JOFFRE,NONE,6140.0,VENCE,FRANCE,IMMEUBLE LE MAGALI AVENUE JOFFRE 6140 VENCE FRANCE,NONE,IMMEUBLE LE MAGALI,NONE,NONE,NONE,NONE,AVENUE JOFFRE,NONE,6140.0,VENCE,FRANCE,Match,EB RN C
2103,2147,ZAC DES MURONS RUE HENRI GUILLAUMET 42160 ANDREZIEUX-BOUTHEON FRANCE,NONE,NONE,NONE,ZAC DES MURONS,NONE,NONE,RUE HENRI GUILLAUMET,NONE,42160.0,ANDREZIEUX-BOUTHEON,FRANCE,ZAC DES MURONS RUE HENRI GUILLAUMET 42160 ANDREZIEUX-BOUTHEON FRANCE,NONE,NONE,NONE,ZAC DES MURONS,NONE,NONE,RUE HENRI GUILLAUMET,NONE,42160.0,ANDREZIEUX-BOUTHEON,FRANCE,Match,Z RN C
2104,2148,ZONE INDUSTRIELLE LAVILLE ZONE INDUSTRIELLE 47240 BON-ENCONTRE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LAVILLE ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,47240.0,BON-ENCONTRE,FRANCE,ZONE INDUSTRIELLE LAVILLE ZONE INDUSTRIELLE 47240 BON-ENCONTRE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LAVILLE ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,47240.0,BON-ENCONTRE,FRANCE,Match,Z C
2105,2149,PARC ZAC GROTTES DE PICHA ARTE 595 RUE PIERRE BERTHIER 13080 AIX-EN-PROVENCE FRANCE,NONE,NONE,NONE,PARC ZAC GROTTES DE PICHA ARTE,NONE,595,RUE PIERRE BERTHIER,NONE,13080.0,AIX-EN-PROVENCE,FRANCE,PARC ZAC GROTTES DE PICHA ARTE 595 RUE PIERRE BERTHIER 13080 AIX-EN-PROVENCE FRANCE,NONE,NONE,NONE,PARC ZAC GROTTES DE PICHA ARTE,NONE,595,RUE PIERRE BERTHIER,NONE,13080.0,AIX-EN-PROVENCE,FRANCE,Match,Z HN RN C
2106,2150,2 RUE FAVALELLI 20200 BASTIA FRANCE,NONE,NONE,NONE,NONE,NONE,2,RUE FAVALELLI,NONE,20200.0,BASTIA,FRANCE,2 RUE FAVALELLI 20200 BASTIA FRANCE,NONE,NONE,NONE,NONE,NONE,2,RUE FAVALELLI,NONE,20200.0,BASTIA,FRANCE,Match,HN RN C
2107,2151,60 RUE DU CHENE CREUX 44400 REZE FRANCE,NONE,NONE,NONE,NONE,NONE,60,RUE DU CHENE CREUX,NONE,44400.0,REZE,FRANCE,60 RUE DU CHENE CREUX 44400 REZE FRANCE,NONE,NONE,NONE,NONE,NONE,60,RUE DU CHENE CREUX,NONE,44400.0,REZE,FRANCE,Match,HN RN C
2108,2152,58 RUE MARGUERITE DE ROCHECHOUART 75009 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,58,RUE MARGUERITE DE ROCHECHOUART,NONE,75009.0,PARIS,FRANCE,58 RUE MARGUERITE DE ROCHECHOUART 75009 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,58,RUE MARGUERITE DE ROCHECHOUART,NONE,75009.0,PARIS,FRANCE,Match,HN RN C
2109,2153,RUE DES COMBES 4200 SISTERON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COMBES,NONE,4200.0,SISTERON,FRANCE,RUE DES COMBES 4200 SISTERON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COMBES,NONE,4200.0,SISTERON,FRANCE,Match,RN C
2110,2154,11 RUE PERRONET 75007 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,11,RUE PERRONET,NONE,75007.0,PARIS,FRANCE,11 RUE PERRONET 75007 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,11,RUE PERRONET,NONE,75007.0,PARIS,FRANCE,Match,HN RN C
