companyI,AddI,CompanyK,AddK,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel
TRANS ACIER,8 bis rue Joseph Cugnot 51430 TINQUEUX France,ZOLUX,ZONE INDUSTRIELLE LA CHAPELETTE 80200 PERONNE France,NONE,NONE,NONE,NONE,NONE,8 BIS,RUE JOSEPH CUGNOT,NONE,51430,TINQUEUX,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LA CHAPELETTE,NONE,NONE,NONE,NONE,80200,PERONNE,FRANCE,NoMatch
TCL,ZA DE VALLIERES 77400 THORIGNY SUR MARNE FRANCE,TOURISME CARS DE LUXE AVIS CHAUFFEUR,20 RUE GAY LUSSAC  95500 GONESSE France,NONE,NONE,NONE,ZONE ARTISANALE DE VALLIERES,NONE,NONE,NONE,NONE,77400,THORIGNY SUR MARNE,FRANCE,NONE,NONE,NONE,NONE,NONE,20,RUE GAY LUSSAC,NONE,95500,GONESSE,FRANCE,NoMatch
TRANSBAUS,31 CARRER D'EN CAVAILLES 66160 LE BOULOU France,M GILLES BELLISSENT,1 RUE DES COQUELICOTS  66380 PIA France,NONE,NONE,NONE,NONE,NONE,31,CARRER D'EN CAVAILLES,NONE,66160,LE BOULOU,FRANCE,NONE,NONE,NONE,NONE,NONE,1,RUE DES COQUELICOTS,NONE,66380,PIA,FRANCE,NoMatch
ROUQUET JEAN-PAUL,ROUTE DE CASTRES 81990 PUYGOUZON FRANCE,CONSTRUCTIONS PHILIPPE ROUQUET,RTE D'AZAS 81370 SAINT SULPICE LA POINTE France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE CASTRES,NONE,81990,PUYGOUZON,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE D'AZAS,NONE,81370,SAINT SULPICE,FRANCE,NoMatch
S.T.C.M.,1 rue de la Grange 33650 MARTILLAC France,STCM SOCI\XE9T\XE9 DE TRANSPORTS DE CONTENEUR ET DE MARCHANDISES,5 ZONE D'ACTIVITES DE CALENS 33640 BEAUTIRAN France,NONE,NONE,NONE,NONE,NONE,1,RUE DE LA GRANGE,NONE,33650,MARTILLAC,FRANCE,NONE,NONE,NONE,ZONE D'ACTIVITES DE CALENS,NONE,NONE,NONE,NONE,33640,BEAUTIRAN,FRANCE,NoMatch
TRANS OCCITANIE SERVICES,512 chemin de La Loubatre 31330 MERVILLE France,TRANS-OCCITAN,32 RUE DE FENOUILLET 31140 SAINT ALBAN France,NONE,NONE,NONE,NONE,NONE,512,CHEMIN DE LA LOUBATRE,NONE,31330,MERVILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,32,RUE DE FENOUILLET,NONE,31140,SAINT ALBAN,FRANCE,NoMatch
LOCIMA,8 BOULEVARD DE LA LEZE 31600 EAUNES FRANCE,P.P.C.E TRANSPORTS,RAPAILLON CANAOU 31800 LABARTHE INARD France,NONE,NONE,NONE,NONE,NONE,8,BOULEVARD DE LA LEZE,NONE,31600,EAUNES,FRANCE,NONE,NONE,NONE,RAPARC ACTIVITEILLON CANAOU,NONE,NONE,NONE,NONE,31800,LABARTHE INARD,FRANCE,NoMatch
TRANSPORT GASPAR,Route de Thuir 66130 ILLE-SUR-TET France,M NORBERTO TAVARES VIEIRA,14 RTE DE PERPIGNAN LE DOMAINE D'AGUZAN APPT 306 BAT I 66240 SAINT ESTEVE France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE THUIR,NONE,66130,ILLE SUR TET,FRANCE,APPARTEMENT 306,BATIMENT I,NONE,DOMAINE D'AGUZONE ARTISANALEN,NONE,14,ROUTE DE PERPIGNAN LE,NONE,66240,SAINT ESTEVE,FRANCE,NoMatch
AGENCE RAPID TRANSPORTS,207 rue Georges Guynemer 34130 MAUGUIO France,M SEBASTIEN DELVAUX CARROSSERIE DELVAUX,RELAIS DE LA DOURBIE 34800 ASPIRAN France,NONE,NONE,NONE,NONE,NONE,NONE,207 RUE GEORGES GUYNEMER,NONE,34130,MAUGUIO,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RELAIS DE LA DOURBIE,NONE,34800,ASPIRAN,FRANCE,NoMatch
SOCIT D'AFFRTEMENT BOURGUIGNONNE,9 Impasse de Reggio 21000 DIJON France,SOCIETE D'AFFRETEMENT BOURGUIGNONNE SOCI\XE9T\XE9 D'AFFR\XEATEMENT BOURGUIGNON,1 RUE CATHERINE SAUVAGE 21800 CHEVIGNY SAINT SAUVEUR France,NONE,NONE,NONE,NONE,NONE,9,IMPASSE DE REGGIO,NONE,21000,DIJON,FRANCE,NONE,NONE,NONE,NONE,NONE,1,RUE CATHERINE SAUVAGE,NONE,21800,CHEVIGNY SAINT SAUVEUR,FRANCE,NoMatch
TRACTION,"41, ROUTE DE GAGNAC 31150 FENOUILLET FRANCE",GROUPE A D SUD OUEST,97 RUE DE FENOUILLET 31200 TOULOUSE France,NONE,NONE,NONE,NONE,NONE,41,ROUTE DE GAGNAC,NONE,31150,FENOUILLET,FRANCE,NONE,NONE,NONE,NONE,NONE,97,RUE DE FENOUILLET,NONE,31200,TOULOUSE,FRANCE,NoMatch
CHERRIER PATRICK,286 RUE PASCAL 54710 LUDRES FRANCE,MONSIEUR PATRICK CHERRIER,23 RUE DE COLMART 45460 LES BORDES France,NONE,NONE,NONE,NONE,NONE,286,RUE PASCAL,NONE,54710,LUDRES,FRANCE,NONE,NONE,NONE,NONE,NONE,23,RUE DE COLMART,NONE,45460,LES BORDES,FRANCE,NoMatch
TRANSPORTS DUBOIS JEAN-CLAUDE,276 rue andr boulle 30100 ALES France,M JEAN-CLAUDE ARY,60 CHE DE LA ROUVIERE 30560 SAINT HILAIRE DE BRETHMAS France,NONE,NONE,NONE,NONE,NONE,276,RUE ANDR BOULLE,NONE,30100,ALES,FRANCE,NONE,NONE,NONE,NONE,NONE,60,CHEMIN DE LA ROUVIERE,NONE,30560,SAINT HILAIRE,FRANCE,NoMatch
TRANS ROUERGUE MANUTENTION,296 Avenue de Rodez BP 2 12450 LA PRIMAUBE France,TRANS ROUERGUE MANUTENTION,296 AV DE RODEZ 12450 LUC LA PRIMAUBE France,NONE,NONE,NONE,NONE,NONE,296,AVENUE DE RODEZ,BP 2,12450,LA PRIMAUBE,FRANCE,NONE,NONE,NONE,NONE,NONE,296,AVENUE DE RODEZ,NONE,12450,LUC,FRANCE,NoMatch
KSK TRANSPORT INTERNATIONAL,37 rue Pasteur 39300 Montrond France,KSK TRANSPORT INTERNATIONAL,RUE FRANCOIS ARAGO 39800 POLIGNY France,NONE,NONE,NONE,NONE,NONE,37,RUE PASTEUR,NONE,39300,MONTROND,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE FRANCOIS ARAGO,NONE,39800,POLIGNY,FRANCE,NoMatch
SARL MAHOUDIAUX,38 RUE DU COMMERCE BP 23 51350 CORMONTREUIL FRANCE,M SAID RRAMI,10 RUE HEMART 51200 EPERNAY France,NONE,NONE,NONE,NONE,NONE,38,RUE DU COMMERCE,BP 23,51350,CORMONTREUIL,FRANCE,NONE,NONE,NONE,NONE,NONE,10,RUE HEMART,NONE,51200,EPERNAY,FRANCE,NoMatch
SOCIT NOUVELLE DES TRANSPORTS ROUFFIGNAC,ZA LA PLAINE 87220 BOISSEUIL FRANCE,SOC COOP AGRICOLE ALLIANCE PASTORALE,LE CLUZEAU 16500 LESSAC France,NONE,NONE,NONE,ZONE ARTISANALE LA PLAINE,NONE,NONE,NONE,NONE,87220,BOISSEUIL,FRANCE,NONE,NONE,NONE,LE CLUZEAU,NONE,NONE,NONE,NONE,16500,LESSAC,FRANCE,NoMatch
TF TRANSPORT,17 Rue du chemin de fer 93500 Pantin France,T.F CHIMIE T.F. CHIMIE,224 RUE JULES FERRY 95360 MONTMAGNY France,NONE,NONE,NONE,NONE,NONE,17,RUE DU CHEMIN DE FER,NONE,93500,PANTIN,FRANCE,NONE,NONE,NONE,NONE,NONE,224,RUE JULES FERRY,NONE,95360,MONTMAGNY,FRANCE,NoMatch
FRET EXPRESS,111 RUE DE LA BORDE 45450 ORME FRANCE,EURO COOP EXPRESS,12 AV DE L ORME FOURCHU ZI DE FONTCOUVERT 84000 AVIGNON France,NONE,NONE,NONE,NONE,NONE,111,RUE DE LA BORDE,NONE,45450,ORME,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE FONTCOUVERT,NONE,12,AVENUE DE L ORME FOURCHU,NONE,84000,AVIGNON,FRANCE,NoMatch
TRANSPORT ATOUT PRIX,2bis rue Dupont de l'heure 75020 Paris France,ATOUT VOYAGES,RTE DE PARIS PARC D'ACTIVITE LA RADIO 28100 DREUX France,NONE,NONE,NONE,NONE,NONE,2,RUE DUPONT DE L'HEURE,NONE,75020,PARIS,FRANCE,NONE,NONE,NONE,PARC ACTIVITERC D'ACTIVITE LA RADIO,NONE,NONE,ROUTE DE PARIS,NONE,28100,DREUX,FRANCE,NoMatch
TRANSPORTS VASSE,LIEU-DIT 47270 SAINT PIERRE DE CLAIRAC FRANCE,SOCIETE D'AFFUTAGE VASSE SOCI\XE9T\XE9 AFF\XFBTAGE VASSE,PARC ACTIVITES DE L'AERODR 76430 SAINT ROMAIN DE COLBOSC France,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT,NONE,47270,SAINT PIERRE,FRANCE,NONE,NONE,NONE,PARC ACTIVITE DE L'AERODR,NONE,NONE,NONE,NONE,76430,SAINT ROMAIN,FRANCE,NoMatch
AZERTY TRANSPORT,15 RUE MALGRAS ZI de Trois Fontaines 52100 ST DIZIER France,ASERTI ELECTRONIC,RUE MAURICE PREVOTEAU ZAC LA NEUVILLETTE 51100 REIMS France,NONE,NONE,NONE,ZONE INDUSTRIELLE DE TROIS FONTAINES,NONE,15,RUE MALGRAS,NONE,52100,SAINT DIZIER,FRANCE,NONE,NONE,NONE,ZONE ARTISANALEC LA NEUVILLETTE,NONE,NONE,RUE MAURICE PREVOTEAU,NONE,51100,REIMS,FRANCE,NoMatch
MOULE ET FILS (SARL),CHEMIN DES MARAIS 10100 PARS LES ROMILLY FRANCE,BARON & FILS LES GITES DE MONTAL,CHEMIN DE MONTAL 97160 LE MOULE France,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DES MARAIS,NONE,10100,PARS LES ROMILLY,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE MONTAL,NONE,97160,LE MOULE,FRANCE,NoMatch
FAB'S TRUCK,Coteaux de l'Auzette 87220 FEYTIAT France,M ABDELMALEK LAROUM,8 AV ARISTIDE BRIAND 87410 LE PALAIS SUR VIENNE France,NONE,NONE,NONE,NONE,NONE,NONE,COTEAUX DE L'AUZETTE,NONE,87220,FEYTIAT,FRANCE,NONE,NONE,NONE,NONE,NONE,8,AVENUE ARISTIDE BRIAND,NONE,87410,LE PALAIS,FRANCE,NoMatch
PGASE SA,58 Rue Vignes 67202 WOLFISHEIM France,WATERS WATERS SAS,198 RUE D ALTORF 67120 DACHSTEIN France,NONE,NONE,NONE,NONE,NONE,58,RUE VIGNES,NONE,67202,WOLFISHEIM,FRANCE,NONE,NONE,NONE,NONE,NONE,198,RUE D ALTORF,NONE,67120,DACHSTEIN,FRANCE,NoMatch
LPART,19 BLD NEY 75018 PARIS FRANCE,LP ART,36 AV PAUL VAILLANT COUTURIER 93120 LA COURNEUVE France,NONE,NONE,NONE,NONE,NONE,19,BOULEVARD NEY,NONE,75018,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,36,AVENUE PAUL VAILLANT COUTURIER,NONE,93120,LA COURNEUVE,FRANCE,NoMatch
BR TRANSPORTS,11 rue de la tuilerie 70140 Pesmes France,RHENUS FREIGHT LOGISTICS,13 B RUE DU CHAMP AUX PRETRES 21850 SAINT APOLLINAIRE France,NONE,NONE,NONE,NONE,NONE,11,RUE DE LA TUILERIE,NONE,70140,PESMES,FRANCE,NONE,NONE,NONE,NONE,NONE,13,RUE DU CHAMP AUX PRETRES,NONE,21850,SAINT APOLLINAIRE,FRANCE,NoMatch
BR TRANSPORTS,11 rue de la tuilerie 70140 Pesmes France,SCHENINI,78 B AV ARISTIDE BRIAND 90300 OFFEMONT France,NONE,NONE,NONE,NONE,NONE,11,RUE DE LA TUILERIE,NONE,70140,PESMES,FRANCE,NONE,NONE,NONE,NONE,NONE,6 B,AVENUE ARISTIDE BRIAND,NONE,90300,OFFEMONT,FRANCE,NoMatch
TRANSPORTS ISSALY,Lieu-dit 12390 RIGNAC France,MME LAURA JAMET,RUE DE LA MADELEINE 12620 SAINT BEAUZELY France,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT,NONE,12390,RIGNAC,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE LA MADELEINE,NONE,12620,SAINT BEAUZELY,FRANCE,NoMatch
TRANSPORTS S.A.V.A.,10 ROUTE D'ARGENT 12740 SEBAZAC FRANCE,SAVA,LD LIOUJAS ZA 12740 LA LOUBIERE France,NONE,NONE,NONE,NONE,NONE,10,ROUTE D'ARGENT,NONE,12740,SEBAZAC,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,NONE,LIEU DIT LIOUJAS,NONE,12740,LA LOUBIERE,FRANCE,NoMatch
LPART,19 BLD NEY 75018 PARIS FRANCE,LP ART LP ART SA,274 RUE DE ROSNY 93100 MONTREUIL France,NONE,NONE,NONE,NONE,NONE,19,BOULEVARD NEY,NONE,75018,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,274,RUE DE ROSNY,NONE,93100,MONTREUIL,FRANCE,NoMatch
BOUSSARD,10 RUE CHATEAU D'EAU 45700 VIMORY FRANCE,M ROLAND DEVIN,1350 CHE LES BRULES 45570 OUZOUER SUR LOIRE France,NONE,NONE,NONE,NONE,NONE,10,RUE CHATEAU D'EAU,NONE,45700,VIMORY,FRANCE,NONE,NONE,NONE,NONE,NONE,1350,CHEMIN LES BRULES,NONE,45570,OUZOUER SUR LOIRE,FRANCE,NoMatch
LTV,9 AVENUE MARCHAL DE LATTRE DE TASSIGNY 69330 MEYZIEU FRANCE,L.T.V. - MONTAGNY LTV-LOCATION TRANSPORT VOLUME,9 RUE DU DAUPHINE 69960 CORBAS France,NONE,NONE,NONE,NONE,NONE,9,AVENUE MARCHAL DE LATTRE DE TASSIGNY,NONE,69330,MEYZIEU,FRANCE,NONE,NONE,NONE,NONE,NONE,9,RUE DU DAUPHINE,NONE,69960,CORBAS,FRANCE,NoMatch
ROGER TRANSPORTS,20 Rue pierre brossolette 62210 Avion France," LOCABAM (LOC AVION BATEAU AUTO MOTO) LOCABAM (LOCATION, AVION, BATEAU, AUTO, MOTO) ",CHATEAU DU PLESSIS PICARD 77550 REAU France,NONE,NONE,NONE,NONE,NONE,20,RUE PIERRE BROSSOLETTE,NONE,62210,AVION,FRANCE,NONE,CHATEAU DU PLESSIS PICARD,NONE,NONE,NONE,NONE,NONE,NONE,77550,REAU,FRANCE,NoMatch
TRANSPORTS NICOLAS LABOUX,54 RUE MARC SEGUIN - ZA LA HAZAIE 22190 TREGUEUX FRANCE,ROUXEL TP,10 RUE DE LA HAUTIERE ZA LE GRAND PLESSIS 22940 PLAINTEL France,NONE,NONE,NONE,ZONE ARTISANALE LA HAZONE ARTISANALEIE,NONE,54,RUE MARC SEGUIN,NONE,22190,TREGUEUX,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE LE GRAND PLESSIS,NONE,10,RUE DE LA HAUTIERE,NONE,22940,PLAINTEL,FRANCE,NoMatch
SOCIETE DE CONVOYAGE ET DE TRANSPORT KLEIT,18 CHEMIN DU PARC 31150 BRUGUIERES France,STC SOC TRANSPORTS ET CONVOYAGE SOCIET\XE9 TRANSPORTS ET CONVOYAGE,2 RTE DE ROUEN 27670 SAINT OUEN DU TILLEUL France,NONE,NONE,NONE,NONE,NONE,18,CHEMIN DU PARC,NONE,31150,BRUGUIERES,FRANCE,NONE,NONE,NONE,NONE,NONE,2,ROUTE DE ROUEN,NONE,27670,SAINT OUEN,FRANCE,NoMatch
IMEN TRANSPORT,2 bis rue Dupont de l 75020 PARIS France,FRANCE DISTRIBUTION EXPRESS,15 RUE VICTOR DROUET 77410 CLAYE SOUILLY France,NONE,NONE,NONE,NONE,NONE,2,RUE DUPONT DE L,NONE,75020,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,15,RUE VICTOR DROUET,NONE,77410,CLAYE SOUILLY,FRANCE,NoMatch
AZURTRANS,AV 17EME 06510 CARROS LE BROC France,MONSIEUR CYRIL BLANCKAERT,458 CHEMIN DE LA GABELLE CLOS 06220 VALLAURIS France,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE 17 EME,NONE,6510,CARROS,FRANCE,NONE,NONE,NONE,NONE,NONE,458,CHEMIN DE LA GABELLE CLOS,NONE,6220,VALLAURIS,FRANCE,NoMatch
AZURTRANS,AV 17EME 06510 CARROS LE BROC France,AXE TRANS SUD,ST ISIDORE PAL BAT AAGIS 06200 NICE France,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE 17 EME,NONE,6510,CARROS,FRANCE,NONE,BATIMENT AAGIS,NONE,NONE,NONE,NONE,NONE,NONE,6200,NICE,FRANCE,NoMatch
ROGER TRANSPORTS,20 Rue pierre brossolette 62210 Avion France,LATELEC,RTE NATIONALE 40410 LIPOSTHEY France,NONE,NONE,NONE,NONE,NONE,20,RUE PIERRE BROSSOLETTE,NONE,62210,AVION,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE NATIONALE,NONE,40410,LIPOSTHEY,FRANCE,NoMatch
MENAL,10 AVENUE DES MINIMES 31200 TOULOUSE FRANCE,MME ISABELLE SAEUR,7 RUE DE L'HOSPICE 31310 MONTESQUIEU VOLVESTRE France,NONE,NONE,NONE,NONE,NONE,10,AVENUE DES MINIMES,NONE,31200,TOULOUSE,FRANCE,NONE,NONE,NONE,NONE,NONE,7,RUE DE L'HOSPICE,NONE,31310,MONTESQUIEU,FRANCE,NoMatch
TRANS AQUITAINE SERVICES,MOULIN VENT 40300 BELUS FRANCE,ROAD-TRANS,7 CHE DES MOULINS 84250 LE THOR France,NONE,NONE,NONE,MOULIN VENT,NONE,NONE,NONE,NONE,40300,BELUS,FRANCE,NONE,NONE,NONE,NONE,NONE,7,CHEMIN DES MOULINS,NONE,84250,LE THOR,FRANCE,NoMatch
DEMENAGEMENTS FRANCE INTER,3 Rue Ren Boulanger 75010 PARIS France,FRANCE INTER DEMENAGEMENTS,48 RUE DE ROCHES 93100 MONTREUIL France,NONE,NONE,NONE,NONE,NONE,3,RUE REN BOULANGER,NONE,75010,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,48,RUE DE ROCHES,NONE,93100,MONTREUIL,FRANCE,NoMatch
SARL MAHOUDIAUX,38 RUE DU COMMERCE BP 23 51350 CORMONTREUIL FRANCE,MME ANNIE TREVETTE,12 RUE DE REVEILLON 51310 VILLENEUVE LA LIONNE France,NONE,NONE,NONE,NONE,NONE,38,RUE DU COMMERCE,BP 23,51350,CORMONTREUIL,FRANCE,NONE,NONE,NONE,NONE,NONE,12,RUE DE REVEILLON,NONE,51310,VILLENEUVE LA LIONNE,FRANCE,NoMatch
TRANS ROUERGUE MANUTENTION,296 Avenue de Rodez BP 2 12450 LA PRIMAUBE France,MME MICHELE REY,BIOUNAC 12500 ESPALION France,NONE,NONE,NONE,NONE,NONE,296,AVENUE DE RODEZ,BP 2,12450,LA PRIMAUBE,FRANCE,NONE,NONE,NONE,BIOUNAC,NONE,NONE,NONE,NONE,12500,ESPALION,FRANCE,NoMatch
FRET EXPRESS,111 RUE DE LA BORDE 45450 ORME FRANCE,CALBERSON LOIRET,RUE JEAN BERTIN ZAC D ORMES POLE 45 45770 SARAN France,NONE,NONE,NONE,NONE,NONE,111,RUE DE LA BORDE,NONE,45450,ORME,FRANCE,NONE,NONE,NONE,ZONE ARTISANALEC D ORMES POLE 45,NONE,NONE,RUE JEAN BERTIN,NONE,45770,SARAN,FRANCE,NoMatch
TRANSPORTS ISNARD,CHEMIN CAUVELLES 13190 ALLAUCH FRANCE,M THIERRY TESTUT,4 RUE DOMINIQUE PIAZZA 13420 GEMENOS France,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN CAUVELLES,NONE,13190,ALLAUCH,FRANCE,NONE,NONE,NONE,NONE,NONE,4,RUE DOMINIQUE PIAZZA,NONE,13420,GEMENOS,FRANCE,NoMatch
COLIS EXPRESS,grande rue 70600 Oyrieres France,LA POSTE,13 RUE COMMANDANT GIRARDOT 70000 VESOUL France,NONE,NONE,NONE,NONE,NONE,NONE,RUE,NONE,70600,OYRIERES,FRANCE,NONE,NONE,NONE,NONE,NONE,13,RUE COMMANDANT GIRARDOT,NONE,70000,VESOUL,FRANCE,NoMatch
BERTON TRANSPORTS,ZAC de l Ecluse des Marots 10800 SAINT THIBAULT France,M BENOIT HANDEL,LA NOUE AU MOULIN 10150 CHARMONT SOUS BARBUISE France,NONE,NONE,NONE,ZONE ARTISANALEC DE L ECLUSE DES MAROTS,NONE,NONE,NONE,NONE,10800,SAINT THIBAULT,FRANCE,NONE,NONE,NONE,LA NOUE AU MOULIN,NONE,NONE,NONE,NONE,10150,CHARMONT SOUS BARBUISE,FRANCE,NoMatch
TRANSPORTS DU DOLMEN,LA ROQUE 81340 COURRIS FRANCE,LA COUPIAGAISE LE FOUR A PAIN AVEYRONNAIS,ZA LE DOLMEN 81250 ALBAN France,NONE,NONE,NONE,LA ROQUE,NONE,NONE,NONE,NONE,81340,COURRIS,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE LE DOLMEN,NONE,NONE,NONE,NONE,81250,ALBAN,FRANCE,NoMatch
TRANSPORTS GAUTHIER,LE MOULIN DU VERGER 53400 CRAON FRANCE,TRANSPORTS MICHEL GAUTIER TRANSPORTS MICHEL GAUTIER SARL,9 RUE DE LA GRASSINAIS 35400 SAINT MALO France,NONE,NONE,NONE,LE MOULIN DU VERGER,NONE,NONE,NONE,NONE,53400,CRAON,FRANCE,NONE,NONE,NONE,NONE,NONE,9,RUE DE LA GRASSINAIS,NONE,35400,SAINT MALO,FRANCE,NoMatch
SOGETTI,Route du Bignon Mirabeau 77650 EGREVILLE France,M FREDERIC CALLET RAVAL,28 RUE DE LA FAIENCERIE 77950 RUBELLES France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DU BIGNON MIRABEAU,NONE,77650,EGREVILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,28,RUE DE LA FAIENCERIE,NONE,77950,RUBELLES,FRANCE,NoMatch
BLANCHET DEMENAGEMENT,La Limoise 36100 ISSOUDUN France,R. BLANCHET TRANSPORTS R. BLANCHET,IMP LES TUILERIES 36400 VERNEUIL SUR IGNERAIE France,NONE,NONE,NONE,LA LIMOISE,NONE,NONE,NONE,NONE,36100,ISSOUDUN,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,IMPASSE LES TUILERIES,NONE,36400,VERNEUIL,FRANCE,NoMatch
BOSCHER REN LOGISTIQUE,49 Rue du Souvenir 91490 MOIGNY SUR ECOLE France,I.T.W. DE FRANCE ITW DE FRANCE,3 ALL LOUIS LUMIERE Z.I N\xb03 60110 MERU France,NONE,NONE,NONE,NONE,NONE,49,RUE DU SOUVENIR,NONE,91490,MOIGNY SUR ECOLE,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE N\XB 03,NONE,3,ALLEE LOUIS LUMIERE,NONE,60110,MERU,FRANCE,NoMatch
TRANSPORTS BORIES,ZAC DE DONZAC 82340 DONZAC FRANCE,FCCE FROID CLIMATISATION CUISINE EQUIPEMENTS,8 AV BORIE DE VIALARD 24200 CARSAC AILLAC France,NONE,NONE,NONE,ZONE ARTISANALEC DE DONZONE ARTISANALEC,NONE,NONE,NONE,NONE,82340,DONZAC,FRANCE,NONE,NONE,NONE,NONE,NONE,8,AVENUE BORIE DE VIALARD,NONE,24200,CARSAC AILLAC,FRANCE,NoMatch
GAU MAXIME,AVENUE DE LAUTREC 81100 PLOMBIERES FRANCE,MONSIEUR MAXIME GAU,LIEU DIT PLOMBIERES 81100 CASTRES France,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LAUTREC,NONE,81100,PLOMBIERES,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT PLOMBIERES,NONE,81100,CASTRES,FRANCE,NoMatch
MAT TRANSPORT SA,Gare Terminal Est 62100 CALAIS France,AXOR D LOC MAT SA,RUE DE LA MORANDIERE PARC D ACTIVITES DE MAGUDAS 33185 LE HAILLAN France,NONE,NONE,GARE TERMINAL EST,NONE,NONE,NONE,NONE,NONE,62100,CALAIS,FRANCE,NONE,NONE,NONE,PARC ACTIVITE DE MAGUDAS,NONE,NONE,RUE DE LA MORANDIERE,NONE,33185,LE HAILLAN,FRANCE,NoMatch
PRESTA LOGISTIQUE,1 RUE DE LA TAYE 28110 LUC FRANCE,SARL PRESTA'TERRE,RUE DE SCHIRRHEIN ZA DU HEIDFELD 67240 OBERHOFFEN SUR MODER France,NONE,NONE,NONE,NONE,NONE,1,RUE DE LA TAYE,NONE,28110,LUC,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE DU HEIDFELD,NONE,NONE,RUE DE SCHIRRHEIN,NONE,67240,OBERHOFFEN SUR MODER,FRANCE,NoMatch
COSMAR INTERNATIONAL,MARCHE INTERET NATIONAL 06296 NICE Cdex 3 France,COSMAR COSMAR,5 PL CARNOT 83990 SAINT TROPEZ France,NONE,NONE,MARCHE INTERETNATIONAL,NONE,NONE,NONE,NONE,NONE,6296,NICE,FRANCE,NONE,NONE,NONE,NONE,NONE,5,PLACE CARNOT,NONE,83990,SAINT TROPEZ,FRANCE,NoMatch
PRESTA LOGISTIQUE,1 RUE DE LA TAYE 28110 LUC FRANCE,PRESTA'TERRE 55,18 AV GAMBETTA 55000 BAR LE DUC France,NONE,NONE,NONE,NONE,NONE,1,RUE DE LA TAYE,NONE,28110,LUC,FRANCE,NONE,NONE,NONE,NONE,NONE,18,AVENUE GAMBETTA,NONE,55000,BAR LE DUC,FRANCE,NoMatch
DONAU TRANS EST,5 rue Jacques Robert / Zone haute BP863 95508 LE THILLAY Cedex France,M GREGORY LAFRANCESCA,16 RUE ANATOLE FRANCE 95170 DEUIL LA BARRE France,NONE,NONE,NONE,ZONE HAUTE,NONE,5,RUE JACQUES ROBERT,BP 863,95508,LE THILLAY,FRANCE,NONE,NONE,NONE,NONE,NONE,16,RUE ANATOLE FRANCE,NONE,95170,DEUIL LA BARRE,FRANCE,NoMatch
TRANPORTS 2G,2 AVENUE PIERRE SEMARD 69210 L'ARBRESLE France,TRANSPORTS 2G,1359 RTE DE SAIN BEL 69280 MARCY L'ETOILE France,NONE,NONE,NONE,NONE,NONE,2,AVENUE PIERRE SEMARD,NONE,69210,L'ARBRESLE,FRANCE,NONE,NONE,NONE,NONE,NONE,1359,ROUTE DE SAIN BEL,NONE,69280,MARCY,FRANCE,NoMatch
VOYAGES TOUYAROT,Lieu-dit 40330 NASSIET France,AGEN. ASSIST. LAND. TAXIS AMBUL. TAP S AGENCE ASSISTANCE LANDES TAXIS AMBULANCES TAP SASU,114 RTE DE L AERODROME BP 43 40140 SOUSTONS France,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT,NONE,40330,NASSIET,FRANCE,NONE,NONE,NONE,NONE,NONE,114,ROUTE DE L AERODROME,BP 43,40140,SOUSTONS,FRANCE,NoMatch
